code,company,Classification,affiliate,closing price,rate,fluctuation rate,market price,high price,low price,trading volume,transaction amount,market cap,Number of listed shares
10770,평화홀딩스,KOSPI,,3145,-15,-0.47,3160,3170,3130,14284,44947545,45997090570,14625466
119500,포메탈,KOSDAQ,중견기업부,4040,15,0.37,4040,4090,4020,59458,240944340,47862817280,11847232
389140,포바이포,KOSDAQ,벤처기업부,10700,-150,-1.38,11000,11000,10650,132040,1429686950,1.09399E+11,10224235
22100,포스코 ICT,KOSDAQ,우량기업부,6290,-10,-0.16,6290,6440,6260,339731,2162800070,9.56298E+11,152034729
58430,포스코스틸리온,KOSPI,,29250,0,0,29300,29700,29250,11594,341595950,1.755E+11,6000000
9520,포스코엠텍,KOSDAQ,우량기업부,7560,-60,-0.79,7640,7680,7540,818548,6225724480,3.14819E+11,41642703
47050,포스코인터내셔널,KOSPI,,23500,400,1.73,23200,23750,23050,461473,10835034150,2.89932E+12,123375149
3670,포스코케미칼,KOSPI,,214000,2500,1.18,211000,216500,209000,469237,1.00277E+11,1.65771E+13,77463220
189690,포시에스,KOSDAQ,벤처기업부,7630,-90,-1.17,7720,7800,7620,9778,74882780,69488874490,9107323
318020,포인트모바일,KOSDAQ,관리종목(소속부없음),18100,0,0,0,0,0,0,0,2.29187E+11,12662272
256630,포인트엔지니어링,KOSDAQ,벤처기업부,2030,50,2.53,1985,2070,1985,64727,131652980,1.17734E+11,57997072
331380,포커스에이치엔에스,KOSDAQ,벤처기업부,1890,10,0.53,1885,1910,1875,61730,116399235,36001819980,19048582
